	Sample: GSM3024567	Sample: GSM3024568	Sample: GSM3024569	Sample: GSM3024570	Sample: GSM3024571	Sample: GSM3024572
	Normal	Normal	Normal	Perturbation	Perturbation	Perturbation
gene_symbol						
Gene: NPVF	-0.9475872292521975	-1.0255101448576067	-1.025861418905059	1.0070162542846095	0.9931024926744201	0.9988400460558338
Gene: GFAP	-0.9837569601352794	-0.9848006582615895	-1.0310571585151191	0.9968284931277077	1.0072047156541946	0.9955815681300848
Gene: MYL1	0.9989209904790723	0.9969231840909989	1.0023055559337193	-1.0126932916497078	-0.9330697996496047	-1.0523866392044785
Gene: MYH3	1.000031939028283	0.9974386578467059	1.0011314504667392	-0.9738736982490553	-0.9644285943809056	-1.0602997547117679
Gene: MYH8	0.9948829078579413	0.9959622733950263	1.0014689951115796	-1.0182040065208662	-0.8645150481565569	-1.1095951216871232
Gene: MYLPF	1.0040973406948677	0.9915059269157636	1.001497378386535	-0.913901490518217	-1.0238199078918024	-1.0593792475871464
Gene: SERPINA3	-0.9918371657665819	-0.9919970036076443	-1.0160434702818506	1.0000791464155356	1.0070176051525168	0.9927808880880239
Gene: SERPINA5	-0.8913474807044363	-1.051925934226045	-1.0523220429026676	0.9911984814463983	1.0142767014273657	0.9901202749593848
Gene: KERA	0.996141068822413	1.0053973149693884	0.9791676082134169	-0.8644334411300578	-0.8975746421849259	-1.2186979086902343
Gene: COL1A1	1.0049970666747103	0.9870989695491356	1.007830149810761	-0.9969091956741966	-0.9977380067057217	-1.0052789836546878
Gene: COL3A1	1.0014284616851727	1.0030405709281267	0.9952479330105375	-0.9864896580772038	-0.9862634741882502	-1.0269638333583824
Gene: MYBPC1	0.9947459569057161	1.0027801056696737	1.0022028936180636	-0.9758854408031208	-1.0213615657223203	-1.0024819496680122
Gene: RHO	-0.9389185070580908	-0.9933600665225236	-1.065663804264573	1.00712158437878	0.9903670817619978	1.0004537117044092
Gene: CH507-152C13.3	-0.887372537127342	-0.9936033425598303	-1.1125979140638296	0.9870012134295318	0.9958665776804031	1.0107060026410672
Gene: POSTN	0.9986411147041739	1.008542825093609	0.9920091231896114	-0.9772391284426127	-0.9768447053099598	-1.045109229234823
Gene: TNNT3	1.000775450575515	0.9963055454539118	1.002004506592711	-0.9738940585044115	-1.0489336948768422	-0.976257749240884
Gene: ACTA1	1.00527267913625	0.9875462163666454	1.0069231251559079	-0.9904056487635081	-1.0229089964431222	-0.986427375452176
Gene: GSTM1	0.9903151880295222	0.9897776275446911	1.015558391573956	-1.0516987974316794	-1.0516987974316794	-0.8922536122848113
Gene: HBG2	0.9989029910301203	1.002805455440187	0.9963113570422911	-1.0704083931032493	-0.9511425680936635	-0.9764688423156866
Gene: CAPN6	1.00092579016641	0.9977265310785888	0.997929174566449	-0.9777605265513581	-0.9288127363158236	-1.090008232944266
Gene: DLK1	1.0046331650880753	0.9853009018441473	1.0062127720140637	-0.9861009144849167	-1.091315693952794	-0.9187302305085765
Gene: RPS4Y1	-0.936546858339205	-1.0074946908344227	-1.053968616960389	0.9863931043217409	1.0246715449470465	0.9869455168652292
Gene: SALL1	-0.8723110623580538	-1.1348509877609818	-0.9841334085562476	0.9985129368665323	1.001336234418033	0.9914462873907175
