	Sample: SRX3270441	Sample: SRX3270442	Sample: SRX3270443	Sample: SRR7947406	Sample: SRR7947407	Sample: SRR7947408
	Normal	Normal	Normal	Perturbation	Perturbation	Perturbation
GeneID						
Gene: LHX3	-0.9997363277460317	-0.9997363277460317	-0.9997363277460317	1.000239893088206	0.9597147729974275	1.0392543171524613
Gene: SLC18A2	0.926797195510951	1.0663323230089012	0.9913260132877801	-0.9380751901370147	-1.1771930229839913	-0.8691873186866272
Gene: ISL1	0.8890753623657459	1.043863810280723	1.0625247008249044	-0.9984879578237914	-0.9984879578237914	-0.9984879578237914
Gene: TPRX1	-0.9970022795128151	-0.9970022795128151	-0.9970022795128151	0.8448451805155502	1.0486774100439298	1.0974842479789655
Gene: RAX2	-0.960579063418829	-1.080326061473583	-0.951703767869297	1.1066941098617589	0.9171284826192624	0.9687863002806876
Gene: EBF1	0.8889564127128621	1.047967190756414	1.0502932648777215	-0.8583651628390156	-1.1173870477438756	-1.0114646577641064
Gene: MAB21L2	0.9122557701977909	1.0297281824971907	1.0509327786468168	-0.8907452319240986	-1.05108574970885	-1.05108574970885
Gene: RCVRN	-1.1285670418386167	-1.1439148816686961	-0.6889560535760173	1.059095022194769	1.0286250337495795	0.8737179211389818
Gene: PDE6H	-1.1473127003625423	-1.0707716824705331	-0.7458256688911098	1.0676790433403185	1.0948824709501512	0.8013485374337159
Gene: ALDH1A1	1.2213939207470663	0.8054635352483887	0.8605351407002303	-0.4892085738214512	-1.2434559770075615	-1.154728045866673
Gene: TOX	0.9961583195120635	0.9939311166103837	0.9716979053954771	-0.7213333968343031	-1.270948420778767	-0.9695055239048536
Gene: CHRNB3	0.8844103530893878	1.0308871478733495	1.0795398841029056	-0.9982791283552144	-0.9982791283552144	-0.9982791283552144
Gene: MATK	-0.897720254229073	-1.1158856350036903	-0.9776359879174776	1.079118840519291	0.9399254671127142	0.9721975695182355
Gene: MMRN1	1.0029626187719651	0.993438812532181	0.9307556265367984	-0.5400154036463212	-1.1935708270973118	-1.1935708270973118
Gene: DCX	0.8384019942699308	0.9912932806999605	0.9837033475448984	-1.382694938727888	-1.1689186190541292	-0.2617850647327722
Gene: TFF1	-0.9293223700975817	-0.9293223700975817	-0.9293223700975817	1.6034418680018923	0.8535134091204497	0.3310118331704029
Gene: KLHL1	0.9019378759153315	1.0220325656786202	1.0700947917833414	-1.036127807057112	-1.036127807057112	-0.9218096192630684
Gene: SLC17A6	0.8861268863292132	1.051220139551978	1.0579149216416452	-0.9984206491742786	-0.9984206491742786	-0.9984206491742786
Gene: SP9	-0.800184467992222	-1.1504531008181165	-1.009063078445387	0.7316105546706326	1.1299737888183998	1.098116303766693
Gene: TULP1	-0.8884596025573925	-1.0847981190720868	-1.0173767574789794	1.092326965410854	0.992932753974733	0.9053747597228716
Gene: MIF	-0.8893275007657594	-1.1534346796754507	-0.9475274654045313	1.0099005609186376	0.9883062079064587	0.992082877020645
Gene: POU6F2	0.8347607344152118	1.000745932699803	0.9732531924876345	-0.24936132162037028	-1.1874528301904097	-1.3719457077918695
Gene: RBP4	-1.148246407500261	-1.0317892706628122	-0.8045078736005679	0.9903142674862283	1.013092789730847	0.9811364945465657
Gene: KCNV2	-1.0487509026917647	-1.1305507049390622	-0.805989191942891	1.004999963034482	1.0180492333878277	0.962241603151408
Gene: TUBA4A	-1.0843518501751286	-0.8226315641173404	-1.0669565788447677	0.7922118540563665	1.1181914867568103	1.0635366523240604
Gene: TRPM3	1.0578486146740578	0.9839999634972751	0.935810594940902	-0.7598313558264551	-1.0980716808847153	-1.1197561364010646
Gene: KCNT1	-0.9686902235054238	-0.8845455889477626	-1.104205617272281	0.6801151489886503	1.1849459470641155	1.0923803336727012
Gene: LRRC55	0.8955362001292689	1.0276676451004072	1.0594696180047354	-1.1659156605085508	-0.9782876622408554	-0.8384701404850056
Gene: EMX1	-0.9993616808889367	-0.9993616808889367	-0.9993616808889367	1.0562973672430591	1.008276160099005	0.9335115153247459
Gene: ARR3	-0.9977551114002212	-1.1349953900247443	-0.8115001853249634	0.6479467909617073	1.174579364445915	1.1217245313423063
Gene: CRLF1	-0.9793652643489813	-0.9793652643489813	-0.9793652643489813	0.5826081221899627	1.110894268718558	1.2445934021384233
